Table: Production of Crude Oil including Lease Condensate (Thousand Barrels Per Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,11968,12170,12668,12733,13097,13187,12589,12432.13672,12268,11692.756,11461.334,11644.322,11445.567,11199.112,11189.59911,11076.27549,11245.29181,11477.93625,11392.47315,10786.32849,10902.56503,11048.55748,11177.57151,11413.64575,11315.16148,10973.51926,10958.69348,10848.05848,10418.3605,10575.15601,10843.7663,11145.2857,12227.04098,13328.47671,14714.76712
Bermuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,,1435,1285,1271,1356,1438,1471,1474,1535,1616,1560,1553,1547.98,1605.223,1679.446,1746.12138,1805.24699,1836.697,1922.242,1981.08493,1906.6,1976.89344,2029.1726,2170.6,2305.72603,2398.42077,2368.87789,2525.39704,2628.12478,2579.30886,2579.47985,2740.75616,2900.64658,3137.8388,3325.12877,3602.89041
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,,1936,2313,2748,2689,2780,2745,2435,2548,2512,2519.756,2553.027,2679.797,2669.221,2673,2781.89973,2711.3874,2944.07022,3104.10247,3159.55534,2998.27096,3104.07049,3217.98214,3262.89479,3458.68137,3475.82541,3423.12356,3345.42795,3142.95288,2838.9888,2645.84329,2621.1389,2599.84735,2592.50546,2561.85753,2459.06301
Saint Pierre and Miquelon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,,8597,8572,8649,8688,8879,8971,8680,8349.13672,8140,7613,7355.307,7416.545,7171.123,6846.666,6661.578,6559.64109,6464.52459,6451.59178,6251.83288,5881.45754,5821.60109,5801.40274,5744.07671,5649.23836,5440.9153,5181.51781,5087.86849,5076.98082,5000.06284,5349.83288,5481.87123,5644.79178,6496.69672,7441.49041,8652.8137
Central & South America,,3647,3656,3457,3432,3612,3602,3813,3700.36,3949.69,3995.1,4318.442,4534.999,4621.499,4816.91,5058.70578,5480.91355,5847.68642,6326.174,6434.95875,6292.715,6598.28678,6474.50855,6156.91086,5911.08763,6168.74423,6315.35511,6355.31121,6293.29663,6397.57538,6575.97719,6658.18234,6889.11765,6838.92264,6870.39911,7119.24925
Antarctica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,,491,496,491,491,478,460,434,428,449,460,483,485,552.964,594,650.10959,715.0001,755.98361,834.096,846.68493,802.2,761.14208,802.4,799.147,783.107,732.661,703.6497,696.45184,678.7763,661.2152,651.18142,626.05613,581.43262,551.11977,539.84858,532.11751
Aruba,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,,0,0,1,1,2,2,2,1.36,1.29,1.1,1.245,1.2,1.355,1.265,1.22999,1.3,1,0.899,1.603,1.937,1.53,1.271,1,1,1,1,1.03342,1.10849,1.1,0.765,1,1,1,1,1
Belize,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25731,2.9998,3.51066,3.9895,4.25168,4,3.23934,3,1.81776
Bolivia,,27,22,24,22,21,20,18,19,19,20,20.918,21,21.265,22.237,22.60003,27.99976,30.14,29.2,34.598,32.4,29.9235,34.33699,32.16438,29.33151,47.63508,50.73413,48.89596,49.18139,38.87657,33.78011,34.54167,35.51507,41.58128,47.49225,51.12964
Brazil,,182,213,260,339,475,564,572,566,554,596,630.5,630,625.915,643,671.42466,695.42466,795.00273,841.422,968.5,1131.8,1269,1295.146,1455.19178,1496.11,1477.36885,1633.57436,1722.73258,1747.99565,1812.2279,1950.36401,2054.66799,2105.40798,2061.22549,2023.87547,2254.60031
Cayman Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,,33,41,43,39,38,36,31,30,24.4,22,19.609,17,15,13.958,12.411,10.57808,9.178,7.353,8.077,7.7,6.762,6.642,6,6,5.58983,4.41918,2.9918,2.55029,3.09208,3.68388,4.16438,4.5863,6.08197,6.66575,6.66575
Colombia,,126,125,141,152,168,176,305,385,378,403,440,419,433,456,450,585,622.96448,652,732.518,816,690.5765,625,576.93973,540.733,528.76126,525.79309,531.03845,531.13515,588.35672,670.64569,785.52622,914.25442,944.21858,1003.2463,989.94685
Costa Rica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,,5,8,10,12,15,17,18,18,15,15,14.3,14,16.493,19.5,24.17999,26,30,30.293,31.496,38,41,50,47.29589,55.16712,57.93,52.269,51.644,50.539,52.246,48.235,53,55,52.0765,50,50
Dominica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,,204,211,211,237,258,281,293,174,302,279,285,299,321,343.67,365.00039,392.0274,395.79,388.241,375.482,372.6,394.92077,412.18356,392.529,411.0137,528.2447,531.9764,535.67976,511.08799,504.72759,485.6203,486.08701,499.51302,503.5921,526.1124,556.35804
El Salvador,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,,5,5,6,7,5,3,5,4,3,4,4,4.4,4.751,7,8.29999,9.5,12.8306,15.595,23.76712,23.3,20.68,21.08,17.99452,21.99452,19.81148,17.15342,20.14466,15.8178,15.52508,13.51,11.95309,10.94549,10.56463,9.98672,10.05178
Guyana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
